<Hour>08
10,023,366|right now
15,196,605|24 hour peak
18,537,490|all-time peak
<Hour>09
10,227,976|right now
15,196,605|24 hour peak
18,537,490|all-time peak
<Hour>10
10,684,857|right now
15,196,605|24 hour peak
18,537,490|all-time peak
<Hour>11
11,221,042|right now
15,196,605|24 hour peak
18,537,490|all-time peak
<Hour>12
11,738,649|right now
15,196,605|24 hour peak
18,537,490|all-time peak
<Hour>13
12,471,322|right now
15,196,605|24 hour peak
18,537,490|all-time peak
<Hour>14
13,642,726|right now
15,196,605|24 hour peak
18,537,490|all-time peak
<Hour>15
14,913,059|right now
15,196,605|24 hour peak
18,537,490|all-time peak
<Hour>15
15,904,138|right now
15,904,138|24 hour peak
18,537,490|all-time peak
<Hour>15
15,904,138|right now
15,904,138|24 hour peak
18,537,490|all-time peak
